Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),Magnetic Latitude,Magnetic Longitude,MLT
02 Jan 2015 03:58:10.000,-43.827,-171.556,2487.61589,-46.838050842285156,-86.21356201171875,17.23735148111979
02 Jan 2015 03:58:20.000,-43.435,-171.465,2496.086728,-46.433349609375,-86.3207015991211,17.23323211669922
02 Jan 2015 03:58:30.000,-43.044,-171.375,2504.490172,-46.02961349487305,-86.42547607421875,17.229269409179686
02 Jan 2015 03:58:40.000,-42.653,-171.288,2512.82596,-45.62627410888672,-86.53050994873047,17.225289408365885
02 Jan 2015 03:58:50.000,-42.263,-171.202,2521.093837,-45.22391128540039,-86.63334655761719,17.221455891927082
02 Jan 2015 03:59:00.000,-41.873,-171.118,2529.293554,-44.821754455566406,-86.73556518554688,17.217664591471355
02 Jan 2015 03:59:10.000,-41.484,-171.036,2537.424865,-44.42079162597656,-86.83676147460938,17.2139404296875
02 Jan 2015 03:59:20.000,-41.095,-170.955,2545.487531,-44.019840240478516,-86.93646240234375,17.210315958658853
02 Jan 2015 03:59:30.000,-40.707,-170.877,2553.481317,-43.620296478271484,-87.03630065917969,17.206683349609374
02 Jan 2015 03:59:40.000,-40.32,-170.799,2561.405993,-43.221553802490234,-87.1332778930664,17.203241475423177
02 Jan 2015 03:59:50.000,-39.933,-170.724,2569.261332,-42.8232421875,-87.23100280761719,17.199748738606772
02 Jan 2015 04:00:00.000,-39.547,-170.649,2577.047115,-42.425750732421875,-87.32600402832031,17.196438598632813
02 Jan 2015 04:00:10.000,-39.161,-170.577,2584.766799,-42.028690338134766,-87.42183685302734,17.193073018391928
02 Jan 2015 04:00:20.000,-38.776,-170.505,2592.416458,-41.63246536254883,-87.51508331298828,17.189879862467446
02 Jan 2015 04:00:30.000,-38.391,-170.436,2599.995854,-41.23667526245117,-87.60926055908203,17.186624654134114
02 Jan 2015 04:00:40.000,-38.007,-170.367,2607.504752,-40.84172439575195,-87.7009506225586,17.18353525797526
02 Jan 2015 04:00:50.000,-37.623,-170.3,2614.942919,-40.447025299072266,-87.79265594482422,17.1804448445638
02 Jan 2015 04:01:00.000,-37.24,-170.234,2622.310131,-40.05337142944336,-87.88299560546875,17.177445475260416
02 Jan 2015 04:01:10.000,-36.857,-170.169,2629.606165,-39.65977096557617,-87.97244262695312,17.174505615234374
02 Jan 2015 04:01:20.000,-36.475,-170.106,2636.830802,-39.267425537109375,-88.0616226196289,17.17158457438151
02 Jan 2015 04:01:30.000,-36.093,-170.044,2643.983831,-38.875144958496094,-88.14998626708984,17.168716939290366
02 Jan 2015 04:01:40.000,-35.712,-169.983,2651.06504,-38.48392868041992,-88.2371597290039,17.16592966715495
02 Jan 2015 04:01:50.000,-35.332,-169.923,2658.074227,-38.093772888183594,-88.32321166992188,17.163216145833335
02 Jan 2015 04:02:00.000,-34.951,-169.864,2665.011189,-37.70269775390625,-88.40892791748047,17.160526021321616
02 Jan 2015 04:02:10.000,-34.572,-169.806,2671.87573,-37.313690185546875,-88.49323272705078,17.15792897542318
02 Jan 2015 04:02:20.000,-34.193,-169.75,2678.667658,-36.92496109008789,-88.57791137695312,17.15530802408854
02 Jan 2015 04:02:30.000,-33.814,-169.694,2685.386784,-36.5361213684082,-88.66097259521484,17.152794901529948
02 Jan 2015 04:02:40.000,-33.436,-169.639,2692.032926,-36.14836502075195,-88.74310302734375,17.150342814127605
02 Jan 2015 04:02:50.000,-33.058,-169.586,2698.605901,-35.76089096069336,-88.8257064819336,17.147860209147137
02 Jan 2015 04:03:00.000,-32.681,-169.533,2705.105536,-35.37431335449219,-88.90644073486328,17.14550323486328
02 Jan 2015 04:03:10.000,-32.304,-169.481,2711.531656,-34.98783493041992,-88.9866943359375,17.14317626953125
02 Jan 2015 04:03:20.000,-31.928,-169.43,2717.884095,-34.602447509765625,-89.0661392211914,17.14090525309245
02 Jan 2015 04:03:30.000,-31.552,-169.38,2724.162688,-34.217166900634766,-89.14519500732422,17.138658142089845
02 Jan 2015 04:03:40.000,-31.176,-169.331,2730.367275,-33.83198928833008,-89.22383880615234,17.13644053141276
02 Jan 2015 04:03:50.000,-30.801,-169.283,2736.497698,-33.44792175292969,-89.30180358886719,17.134267171223957
02 Jan 2015 04:04:00.000,-30.426,-169.235,2742.553804,-33.06376647949219,-89.3783950805664,17.13218536376953
02 Jan 2015 04:04:10.000,-30.052,-169.189,2748.535444,-32.68091583251953,-89.45536041259766,17.1300786336263
02 Jan 2015 04:04:20.000,-29.678,-169.143,2754.442472,-32.297996520996094,-89.53104400634766,17.128058369954427
02 Jan 2015 04:04:30.000,-29.305,-169.098,2760.274745,-31.91619110107422,-89.60613250732422,17.126077779134114
